Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.52000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref = -6.34891E-10
 -12  -12 Ray Error
 -12  -11 Ray Error
 -12   11 Ray Error
 -12   12 Ray Error
 -11  -12 Ray Error
 -11   12 Ray Error
  11  -12 Ray Error
  11   12 Ray Error
  12  -12 Ray Error
  12  -11 Ray Error
  12   11 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -11	   2	 -3.02841E+01	  6.03272E+00	  3.07103E+01	  3.55514E+00	 -6.46391E-01	  3.19591E+00	 -5.81265E-01	   -10.103757%
 -11	   3	 -3.02841E+01	  9.02159E+00	  3.12052E+01	  3.55514E+00	 -9.69587E-01	  3.18568E+00	 -8.69018E-01	   -10.391055%
 -11	   4	 -3.02841E+01	  1.19618E+01	  3.18749E+01	  3.55514E+00	 -1.29278E+00	  3.17185E+00	 -1.15360E+00	   -10.779535%
 -11	   5	 -3.02841E+01	  1.48395E+01	  3.26985E+01	  3.55514E+00	 -1.61598E+00	  3.15493E+00	 -1.43427E+00	   -11.255136%
 -11	   6	 -3.02841E+01	  1.76427E+01	  3.36527E+01	  3.55514E+00	 -1.93917E+00	  3.13557E+00	 -1.71054E+00	   -11.799184%
 -11	   7	 -3.02841E+01	  2.03613E+01	  3.47138E+01	  3.55514E+00	 -2.26237E+00	  3.11467E+00	 -1.98230E+00	   -12.386846%
 -11	   8	 -3.02841E+01	  2.29875E+01	  3.58585E+01	  3.55514E+00	 -2.58557E+00	  3.09347E+00	 -2.25004E+00	   -12.982794%
 -11	   9	 -3.02841E+01	  2.55154E+01	  3.70654E+01	  3.55514E+00	 -2.90876E+00	  3.07407E+00	 -2.51540E+00	   -13.528456%
 -11	  10	 -3.02841E+01	  2.79413E+01	  3.83152E+01	  3.55514E+00	 -3.23196E+00	  3.06093E+00	 -2.78292E+00	   -13.897994%
 -11	  11	 -3.02841E+01	  3.02629E+01	  3.95910E+01	  3.55514E+00	 -3.55515E+00	  3.06903E+00	 -3.06926E+00	   -13.670378%
 -10	 -12	 -2.79635E+01	 -3.25202E+01	  3.97323E+01	  3.23195E+00	  3.87835E+00	  2.79474E+00	  3.35345E+00	   -13.531487%
 -10	 -11	 -2.79635E+01	 -3.03053E+01	  3.83400E+01	  3.23195E+00	  3.55515E+00	  2.78324E+00	  3.06131E+00	   -13.887563%
 -10	 -10	 -2.79635E+01	 -2.79857E+01	  3.69524E+01	  3.23195E+00	  3.23196E+00	  2.79671E+00	  2.79646E+00	   -13.470688%
