Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.47000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  5.39847E-05
 -12  -12 Ray Error
 -12   12 Ray Error
  12  -12 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -11	   0	 -3.02841E+01	 -2.84622E-02	  3.03073E+01	  3.55629E+00	 -0.00000E+00	  3.20525E+00	 -1.91153E-04	    -9.870904%
 -11	   1	 -3.02841E+01	  3.01055E+00	  3.04084E+01	  3.55629E+00	 -3.23300E-01	  3.20313E+00	 -2.91386E-01	    -9.930105%
 -11	   2	 -3.02841E+01	  6.03272E+00	  3.07118E+01	  3.55629E+00	 -6.46600E-01	  3.19683E+00	 -5.81438E-01	   -10.106769%
 -11	   3	 -3.02841E+01	  9.02159E+00	  3.12068E+01	  3.55629E+00	 -9.69900E-01	  3.18656E+00	 -8.69264E-01	   -10.395130%
 -11	   4	 -3.02841E+01	  1.19618E+01	  3.18765E+01	  3.55629E+00	 -1.29320E+00	  3.17266E+00	 -1.15390E+00	   -10.785622%
 -11	   5	 -3.02841E+01	  1.48395E+01	  3.27002E+01	  3.55629E+00	 -1.61650E+00	  3.15560E+00	 -1.43458E+00	   -11.264868%
 -11	   6	 -3.02841E+01	  1.76427E+01	  3.36545E+01	  3.55629E+00	 -1.93980E+00	  3.13601E+00	 -1.71078E+00	   -11.815399%
 -11	   7	 -3.02841E+01	  2.03613E+01	  3.47157E+01	  3.55629E+00	 -2.26310E+00	  3.11469E+00	 -1.98232E+00	   -12.414585%
 -11	   8	 -3.02841E+01	  2.29875E+01	  3.58605E+01	  3.55629E+00	 -2.58640E+00	  3.09274E+00	 -2.24952E+00	   -13.031355%
 -11	   9	 -3.02841E+01	  2.55154E+01	  3.70675E+01	  3.55629E+00	 -2.90970E+00	  3.07193E+00	 -2.51366E+00	   -13.616382%
