Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.63000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref = -9.43229E-05
 -12  -12 Ray Error
 -12  -11 Ray Error
 -12   11 Ray Error
 -12   12 Ray Error
 -11  -12 Ray Error
 -11   12 Ray Error
  11  -12 Ray Error
  11   12 Ray Error
  12  -12 Ray Error
  12  -11 Ray Error
  12   11 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -11	   2	 -3.02841E+01	  6.03272E+00	  3.07086E+01	  3.55662E+00	 -6.46662E-01	  3.20139E+00	 -5.82254E-01	    -9.986829%
 -11	   3	 -3.02841E+01	  9.02159E+00	  3.12035E+01	  3.55662E+00	 -9.69993E-01	  3.19131E+00	 -8.70545E-01	   -10.269891%
 -11	   4	 -3.02841E+01	  1.19618E+01	  3.18732E+01	  3.55662E+00	 -1.29332E+00	  3.17771E+00	 -1.15573E+00	   -10.651870%
 -11	   5	 -3.02841E+01	  1.48395E+01	  3.26967E+01	  3.55662E+00	 -1.61665E+00	  3.16112E+00	 -1.43708E+00	   -11.117910%
 -11	   6	 -3.02841E+01	  1.76427E+01	  3.36509E+01	  3.55662E+00	 -1.93999E+00	  3.14227E+00	 -1.71418E+00	   -11.647802%
 -11	   7	 -3.02841E+01	  2.03613E+01	  3.47118E+01	  3.55662E+00	 -2.26332E+00	  3.12213E+00	 -1.98703E+00	   -12.213681%
 -11	   8	 -3.02841E+01	  2.29875E+01	  3.58565E+01	  3.55662E+00	 -2.58665E+00	  3.10220E+00	 -2.25637E+00	   -12.773807%
 -11	   9	 -3.02841E+01	  2.55154E+01	  3.70632E+01	  3.55662E+00	 -2.90998E+00	  3.08512E+00	 -2.52442E+00	   -13.254052%
 -11	  10	 -3.02841E+01	  2.79413E+01	  3.83129E+01	  3.55662E+00	 -3.23331E+00	  3.07712E+00	 -2.79761E+00	   -13.478913%
 -11	  11	 -3.02841E+01	  3.02629E+01	  3.95886E+01	  3.55662E+00	 -3.55664E+00	  3.10425E+00	 -3.10445E+00	   -12.716566%
 -10	 -12	 -2.79635E+01	 -3.25202E+01	  3.97299E+01	  3.23329E+00	  3.87997E+00	  2.83207E+00	  3.39829E+00	   -12.412267%
 -10	 -11	 -2.79635E+01	 -3.03053E+01	  3.83377E+01	  3.23329E+00	  3.55664E+00	  2.79816E+00	  3.07775E+00	   -13.461468%
 -10	 -10	 -2.79635E+01	 -2.79857E+01	  3.69502E+01	  3.23329E+00	  3.23331E+00	  2.80654E+00	  2.80631E+00	   -13.202434%
 -10	  -9	 -2.79635E+01	 -2.55618E+01	  3.55825E+01	  3.23329E+00	  2.90998E+00	  2.82491E+00	  2.54219E+00	   -12.634321%
 -10	  -8	 -2.79635E+01	 -2.30357E+01	  3.42528E+01	  3.23329E+00	  2.58665E+00	  2.84662E+00	  2.27708E+00	   -11.962424%
 -10	  -7	 -2.79635E+01	 -2.04113E+01	  3.29826E+01	  3.23329E+00	  2.26332E+00	  2.86902E+00	  2.00811E+00	   -11.269332%
 -10	  -6	 -2.79635E+01	 -1.76943E+01	  3.17966E+01	  3.23329E+00	  1.93999E+00	  2.89061E+00	  1.73417E+00	   -10.601141%
 -10	  -5	 -2.79635E+01	 -1.48927E+01	  3.07219E+01	  3.23329E+00	  1.61665E+00	  2.91038E+00	  1.45501E+00	    -9.989284%
 -10	  -4	 -2.79635E+01	 -1.20163E+01	  2.97873E+01	  3.23329E+00	  1.29332E+00	  2.92756E+00	  1.17085E+00	    -9.457571%
 -10	  -3	 -2.79635E+01	 -9.07711E+00	  2.90218E+01	  3.23329E+00	  9.69993E-01	  2.94154E+00	  8.82298E-01	    -9.024685%
 -10	  -2	 -2.79635E+01	 -6.08901E+00	  2.84520E+01	  3.23329E+00	  6.46662E-01	  2.95186E+00	  5.90214E-01	    -8.705013%
 -10	  -1	 -2.79635E+01	 -3.06731E+00	  2.80996E+01	  3.23329E+00	  3.23331E-01	  2.95819E+00	  2.95664E-01	    -8.508865%
 -10	   0	 -2.79635E+01	 -2.84622E-02	  2.79789E+01	  3.23329E+00	 -0.00000E+00	  2.96032E+00	 -1.53177E-04	    -8.442474%
 -10	   1	 -2.79635E+01	  3.01055E+00	  2.80951E+01	  3.23329E+00	 -3.23331E-01	  2.95819E+00	 -2.95973E-01	    -8.507943%
 -10	   2	 -2.79635E+01	  6.03272E+00	  2.84433E+01	  3.23329E+00	 -6.46662E-01	  2.95186E+00	 -5.90530E-01	    -8.703229%
 -10	   3	 -2.79635E+01	  9.02159E+00	  2.90093E+01	  3.23329E+00	 -9.69993E-01	  2.94153E+00	 -8.82624E-01	    -9.022160%
 -10	   4	 -2.79635E+01	  1.19618E+01	  2.97714E+01	  3.23329E+00	 -1.29332E+00	  2.92754E+00	 -1.17119E+00	    -9.454492%
 -10	   5	 -2.79635E+01	  1.48395E+01	  3.07030E+01	  3.23329E+00	 -1.61665E+00	  2.91035E+00	 -1.45536E+00	    -9.985912%
 -10	   6	 -2.79635E+01	  1.76427E+01	  3.17753E+01	  3.23329E+00	 -1.93999E+00	  2.89055E+00	 -1.73452E+00	   -10.597835%
 -10	   7	 -2.79635E+01	  2.03613E+01	  3.29596E+01	  3.23329E+00	 -2.26332E+00	  2.86892E+00	 -2.00845E+00	   -11.266585%
 -10	   8	 -2.79635E+01	  2.29875E+01	  3.42284E+01	  3.23329E+00	 -2.58665E+00	  2.84646E+00	 -2.27738E+00	   -11.960973%
 -10	   9	 -2.79635E+01	  2.55154E+01	  3.55572E+01	  3.23329E+00	 -2.90998E+00	  2.82464E+00	 -2.54241E+00	   -12.635402%
 -10	  10	 -2.79635E+01	  2.79413E+01	  3.69244E+01	  3.23329E+00	 -3.23331E+00	  2.80611E+00	 -2.80634E+00	   -13.208570%
 -10	  11	 -2.79635E+01	  3.02629E+01	  3.83117E+01	  3.23329E+00	 -3.55664E+00	  2.79734E+00	 -3.07731E+00	   -13.479789%
 -10	  12	 -2.79635E+01	  3.24798E+01	  3.97038E+01	  3.23329E+00	 -3.87997E+00	  2.82931E+00	 -3.39536E+00	   -12.491821%
  -9	 -12	 -2.55386E+01	 -3.25202E+01	  3.85898E+01	  2.90996E+00	  3.87997E+00	  2.51916E+00	  3.35865E+00	   -13.433887%
  -9	 -11	 -2.55386E+01	 -3.03053E+01	  3.70889E+01	  2.90996E+00	  3.55664E+00	  2.52459E+00	  3.08538E+00	   -13.247331%
  -9	 -10	 -2.55386E+01	 -2.79857E+01	  3.55839E+01	  2.90996E+00	  3.23331E+00	  2.54243E+00	  2.82469E+00	   -12.634316%
  -9	  -9	 -2.55386E+01	 -2.55618E+01	  3.40908E+01	  2.90996E+00	  2.90998E+00	  2.56451E+00	  2.56429E+00	   -11.875284%
  -9	  -8	 -2.55386E+01	 -2.30357E+01	  3.26289E+01	  2.90996E+00	  2.58665E+00	  2.58792E+00	  2.30017E+00	   -11.070554%
  -9	  -7	 -2.55386E+01	 -2.04113E+01	  3.12218E+01	  2.90996E+00	  2.26332E+00	  2.61111E+00	  2.03068E+00	   -10.273159%
  -9	  -6	 -2.55386E+01	 -1.76943E+01	  2.98975E+01	  2.90996E+00	  1.93999E+00	  2.63305E+00	  1.75519E+00	    -9.518833%
  -9	  -5	 -2.55386E+01	 -1.48927E+01	  2.86878E+01	  2.90996E+00	  1.61665E+00	  2.65293E+00	  1.47369E+00	    -8.835156%
  -9	  -4	 -2.55386E+01	 -1.20163E+01	  2.76275E+01	  2.90996E+00	  1.29332E+00	  2.67010E+00	  1.18656E+00	    -8.244636%
  -9	  -3	 -2.55386E+01	 -9.07711E+00	  2.67525E+01	  2.90996E+00	  9.69993E-01	  2.68403E+00	  8.94535E-01	    -7.765695%
  -9	  -2	 -2.55386E+01	 -6.08901E+00	  2.60971E+01	  2.90996E+00	  6.46662E-01	  2.69428E+00	  5.98595E-01	    -7.412854%
  -9	  -1	 -2.55386E+01	 -3.06731E+00	  2.56898E+01	  2.90996E+00	  3.23331E-01	  2.70055E+00	  2.99932E-01	    -7.196650%
  -9	   0	 -2.55386E+01	 -2.84622E-02	  2.55501E+01	  2.90996E+00	 -0.00000E+00	  2.70267E+00	 -1.27989E-04	    -7.123492%
  -9	   1	 -2.55386E+01	  3.01055E+00	  2.56847E+01	  2.90996E+00	 -3.23331E-01	  2.70056E+00	 -3.00191E-01	    -7.195546%
  -9	   2	 -2.55386E+01	  6.03272E+00	  2.60871E+01	  2.90996E+00	 -6.46662E-01	  2.69428E+00	 -5.98863E-01	    -7.410702%
  -9	   3	 -2.55386E+01	  9.02159E+00	  2.67382E+01	  2.90996E+00	 -9.69993E-01	  2.68403E+00	 -8.94817E-01	    -7.762610%
  -9	   4	 -2.55386E+01	  1.19618E+01	  2.76093E+01	  2.90996E+00	 -1.29332E+00	  2.67010E+00	 -1.18686E+00	    -8.240792%
  -9	   5	 -2.55386E+01	  1.48395E+01	  2.86665E+01	  2.90996E+00	 -1.61665E+00	  2.65292E+00	 -1.47401E+00	    -8.830796%
  -9	   6	 -2.55386E+01	  1.76427E+01	  2.98737E+01	  2.90996E+00	 -1.93999E+00	  2.63302E+00	 -1.75552E+00	    -9.514277%
  -9	   7	 -2.55386E+01	  2.03613E+01	  3.11962E+01	  2.90996E+00	 -2.26332E+00	  2.61106E+00	 -2.03101E+00	   -10.268824%
